Pitcher,Pitch Type,Times Thrown,Strike%,Whiff Rate
"Bell, Charlie",ChangeUp,112,68%,54%
"Bell, Charlie",Fastball,221,61%,32%
"Bell, Charlie",FourSeamFastBall,40,57%,56%
"Bell, Charlie",Slider,76,71%,26%
"Byhre, Chris",ChangeUp,18,33%,75%
"Byhre, Chris",Fastball,37,57%,29%
"Byhre, Chris",FourSeamFastBall,14,43%,50%
"Curtis, Brayden",Fastball,42,60%,36%
"Curtis, Brayden",Slider,60,58%,50%
"Dreher, Matt",ChangeUp,11,82%,60%
"Dreher, Matt",Fastball,50,50%,44%
"Dreher, Matt",Slider,30,37%,25%
"Gainer, Luke",Fastball,74,74%,17%
"Gainer, Luke",Slider,129,66%,70%
"Hackmann, Joe",ChangeUp,98,62%,63%
"Hackmann, Joe",Fastball,89,66%,28%
"Hackmann, Joe",FourSeamFastBall,28,64%,11%
"Hackmann, Joe",Slider,62,56%,36%
"Ingram, Gage",ChangeUp,14,79%,25%
"Ingram, Gage",Fastball,23,61%,33%
"Kreiling, Harrison",ChangeUp,40,60%,60%
"Kreiling, Harrison",Fastball,224,62%,40%
"Kreiling, Harrison",Slider,97,63%,60%
"Louthan, Ethan",Curveball,21,48%,0%
"Louthan, Ethan",Cutter,34,38%,0%
"Louthan, Ethan",Fastball,89,64%,24%
"Louthan, Ethan",FourSeamFastBall,75,67%,13%
"Louthan, Ethan",Slider,10,70%,25%
"Louthan, Ethan",Splitter,18,67%,56%
"Navin, Carter",Fastball,27,56%,33%
"Navin, Carter",Slider,11,45%,0%
"Navin, Carter",Undefined,255,0%,0%
"Prosoki, Cooper",ChangeUp,15,73%,33%
"Prosoki, Cooper",Fastball,27,52%,50%
"Prosoki, Cooper",Slider,18,61%,62%
"Riedel, Caleb",ChangeUp,39,64%,53%
"Riedel, Caleb",Fastball,353,65%,52%
"Riedel, Caleb",FourSeamFastBall,57,65%,50%
"Riedel, Caleb",Slider,34,53%,56%
"Scanlon, Nick",Fastball,41,54%,45%
"Scanlon, Nick",Slider,80,60%,45%
"Scott, Reed",Fastball,52,67%,15%
"Scott, Reed",Slider,37,57%,36%
